Provinsi,Tahun, Bawang Merah (Ton) , Bawang Putih (Ton) , Bawang Daun (Ton) , Kentang (Ton) , Kubis (Ton) , Kembang Kol (Ton) , Petsai/Sawi (Ton) , Wortel (Ton) , Lobak (Ton) 
ACEH,2016, 6725.00 , 21.00 , 1089.00 , 63023.00 , 8128.00 , 986.00 , 3924.00 , 2106.00 , 0.00 
SUMATERA UTARA,2016, 13369.00 , 70.00 , 10368.00 , 91400.00 , 175922.00 , 35516.00 , 64820.00 , 47205.00 , 1749.00 
SUMATERA BARAT,2016, 66543.00 , 590.00 , 40387.00 , 50582.00 , 87326.00 , 13801.00 , 22254.00 , 35657.00 , 1318.00 
RIAU,2016, 303.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 2547.00 , 0.00 , 0.00 
JAMBI,2016, 4940.00 , 0.00 , 2149.00 , 91081.00 , 33235.00 , 1902.00 , 2431.00 , 2383.00 , 116.00 
SUMATERA SELATAN,2016, 639.00 , 0.00 , 1364.00 , 674.00 , 3956.00 , 211.00 , 3278.00 , 1594.00 , 0.00 
BENGKULU,2016, 351.00 , 0.00 , 23827.00 , 7341.00 , 82883.00 , 13360.00 , 31527.00 , 39728.00 , 0.00 
LAMPUNG,2016, 2574.00 , 0.00 , 4357.00 , 363.00 , 11130.00 , 729.00 , 12480.00 , 5831.00 , 0.00 
KEP. BANGKA BELITUNG,2016, 66.00 , 0.00 , 109.00 , 0.00 , 0.00 , 0.00 , 1116.00 , 0.00 , 18.00 
KEP. RIAU,2016, 0.00 , 0.00 , 485.00 , 0.00 , 0.00 , 0.00 , 4078.00 , 0.00 , 0.00 
DKI JAKARTA,2016, 47.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 3396.00 , 0.00 , 0.00 
JAWA BARAT,2016, 141504.00 , 1548.00 , 169144.00 , 288368.00 , 310853.00 , 21545.00 , 193700.00 , 139905.00 , 13939.00 
JAWA TENGAH,2016, 546686.00 , 6818.00 , 116700.00 , 272976.00 , 370659.00 , 35163.00 , 84698.00 , 145362.00 , 990.00 
DI YOGYAKARTA,2016, 12241.00 , 0.00 , 356.00 , 0.00 , 2.00 , 369.00 , 3910.00 , 0.00 , 0.00 
JAWA TIMUR,2016, 304521.00 , 778.00 , 91362.00 , 227995.00 , 236658.00 , 11432.00 , 44043.00 , 59515.00 , 34.00 
BANTEN,2016, 701.00 , 0.00 , 531.00 , 0.00 , 0.00 , 0.00 , 10027.00 , 431.00 , 0.00 
BALI,2016, 18024.00 , 41.00 , 1813.00 , 672.00 , 45756.00 , 1686.00 , 29567.00 , 4333.00 , 566.00 
NUSA TENGGARA BARAT,2016, 211804.00 , 11001.00 , 1119.00 , 7734.00 , 6498.00 , 956.00 , 2647.00 , 2567.00 , 0.00 
NUSA TENGGARA TIMUR,2016, 2390.00 , 273.00 , 625.00 , 697.00 , 1529.00 , 436.00 , 6043.00 , 2075.00 , 0.00 
KALIMANTAN BARAT,2016, 106.00 , 0.00 , 812.00 , 0.00 , 106.00 , 0.00 , 3611.00 , 0.00 , 565.00 
KALIMANTAN TENGAH,2016, 200.00 , 0.00 , 943.00 , 0.00 , 1.00 , 14.00 , 1431.00 , 0.00 , 0.00 
KALIMANTAN SELATAN,2016, 1160.00 , 0.00 , 1035.00 , 0.00 , 17.00 , 102.00 , 1502.00 , 0.00 , 0.00 
KALIMANTAN TIMUR,2016, 626.00 , 0.00 , 408.00 , 0.00 , 75.00 , 12.00 , 6101.00 , 0.00 , 0.00 
KALIMANTAN UTARA,2016, 15.00 , 0.00 , 465.00 , 0.00 , 0.00 , 0.00 , 5708.00 , 0.00 , 0.00 
SULAWESI UTARA,2016, 2556.00 , 0.00 , 48719.00 , 58854.00 , 71674.00 , 2165.00 , 28261.00 , 23713.00 , 30.00 
SULAWESI TENGAH,2016, 9088.00 , 9.00 , 932.00 , 568.00 , 3018.00 , 442.00 , 2746.00 , 724.00 , 60.00 
SULAWESI SELATAN,2016, 96256.00 , 0.00 , 14984.00 , 49895.00 , 57919.00 , 1724.00 , 12017.00 , 23760.00 , 96.00 
SULAWESI TENGGARA,2016, 892.00 , 0.00 , 320.00 , 6.00 , 235.00 , 40.00 , 1191.00 , 0.00 , 0.00 
GORONTALO,2016, 699.00 , 0.00 , 10.00 , 0.00 , 0.00 , 8.00 , 86.00 , 0.00 , 0.00 
SULAWESI BARAT,2016, 302.00 , 0.00 , 196.00 , 137.00 , 17.00 , 3.00 , 811.00 , 1.00 , 0.00 
MALUKU,2016, 304.00 , 0.00 , 47.00 , 34.00 , 441.00 , 50.00 , 2600.00 , 4.00 , 2.00 
MALUKU UTARA,2016, 243.00 , 0.00 , 68.00 , 0.00 , 89.00 , 2.00 , 300.00 , 0.00 , 0.00 
PAPUA BARAT,2016, 168.00 , 0.00 , 1069.00 , 599.00 , 1044.00 , 68.00 , 1734.00 , 560.00 , 0.00 
PAPUA,2016, 826.00 , 1.00 , 2138.00 , 42.00 , 4155.00 , 129.00 , 6619.00 , 72.00 , 0.00 
